#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"117,226,972",,"1,546,774",,"112,495,424","2,475","3,184,774","7,777",,,,,,North America,,,,
,,Asia,,"191,837,456","11,043","1,483,992",11,"185,849,007","34,046","4,504,457","9,441",,,,,,Asia,,,,
,,Europe,,"231,472,374",,"1,930,226",,"223,821,678","28,976","5,720,470","10,053",,,,,,Europe,,,,
,,South America,,"64,258,279",,"1,331,402",,"62,569,289","1,078","357,588","10,185",,,,,,South America,,,,
,,Oceania,,"12,487,334",800,"21,282",,"12,302,503",,"163,549",92,,,,,,Australia/Oceania,,,,
,,Africa,,"12,659,402",,"257,741",,"11,997,978",31,"403,683","1,000",,,,,,Africa,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"629,942,538","11,843","6,571,432",11,"609,036,585","66,606","14,334,521","38,548","80,816",843.1,,,,All,,,,,,
1,USA,"98,850,125",,"1,090,536",,"96,168,353",,"1,591,236","2,593","294,942","3,254","1,123,834,919","3,353,221","335,150,851",North America,33070,,,"4,748",,
2,India,"44,630,337",,"528,895",,"44,073,308",,"28,134",698,"31,630",375,"897,877,536","636,335","1,411,014,280",Asia,"3,226,682",,,20,,
3,France,"36,258,607",,"155,816",,"35,008,719",,"1,094,072",869,"552,693","2,375","271,490,188","4,138,350","65,603,494",Europe,24210,,,"16,677",,
4,Brazil,"34,792,386",,"687,197",,"33,953,433",,"151,756","8,318","161,067","3,181","63,776,166","295,243","216,012,413",South America,63143,,,703,,
5,Germany,"34,608,835",,"151,420",,"32,891,600",,"1,565,815","1,406","410,077","1,794","122,332,384","1,449,504","84,396,040",Europe,25571,,,"18,553",,
6,S. Korea,"25,131,505","11,040","28,851",11,"24,711,795","30,814","390,859",248,"489,226",562,"15,804,065","307,652","51,369,980",Asia,"217,813",215,0.2,"7,609",,
7,UK,"23,798,793",,"191,681",,"23,420,948","6,154","186,164",146,"346,412","2,790","522,526,476","7,605,819","68,700,880",Europe,33580,,,"2,710",,
8,Italy,"23,099,983",,"177,988",,"22,368,981",,"553,014",252,"383,346","2,954","250,072,463","4,149,977","60,258,762",Europe,33390,,,"9,177",,
9,Japan,"21,757,595",,"45,870",,"20,451,226",,"1,260,499",121,"173,240",365,"76,201,407","606,737","125,592,241",Asia,"627,382",,,"10,036",,
10,Russia,"21,304,554",,"388,901",,"20,603,845",,"311,808","2,300","145,844","2,662","273,400,000","1,871,610","146,077,407",Europe,73761,,,"2,135",,
11,Turkey,"16,919,638",,"101,203",,"16,808,527","3,302","9,908",,"195,799","1,171","162,743,369","1,883,312","86,413,372",Asia,58541,,,115,,
12,Spain,"13,462,593",,"114,641",,"13,257,857",,"90,095",339,"287,686","2,450","471,036,328","10,065,708","46,796,147",Europe,34080,,,"1,925",,
13,Vietnam,"11,492,598",,"43,155",,"10,598,974",,"850,469",47,"115,689",434,"85,826,548","863,966","99,340,246",Asia,"923,021",,,"8,561",,
14,Australia,"10,310,525",800,"15,475",,"10,216,900",,"78,150",37,"393,890",591,"78,835,048","3,011,712","26,176,156",Australia/Oceania,"316,920",31,,"2,986",,
15,Argentina,"9,713,594",,"129,958",,"9,577,820",640,"5,816",279,"210,508","2,816","35,716,069","774,019","46,143,638",South America,53551,,,126,,
16,Netherlands,"8,476,062",,"22,721",,"8,382,859","1,383","70,482",39,"492,179","1,319","21,107,399","1,225,643","17,221,490",Europe,27581,,,"4,093",,
17,Iran,"7,554,333",,"144,519",,"7,329,143",,"80,671",119,"87,383","1,672","54,095,556","625,741","86,450,371",Asia,115982,,,933,,
18,Taiwan,"7,183,912",,"11,908",,"6,266,820",,"905,184",,"300,390",498,"27,039,789","1,130,650","23,915,257",Asia,"320,081",,,"37,850",,
19,Mexico,"7,102,947",,"330,277",,"6,375,138",,"397,532","4,798","53,798","2,502","18,523,417","140,298","132,028,927",North America,194007,,,"3,011",,
20,Indonesia,"6,456,868",,"158,313",,"6,281,342",,"17,213","2,771","23,049",565,"109,612,349","391,285","280,134,469",Asia,"4,317,693",,,61,,
21,Poland,"6,326,748",,"117,900",,"5,335,940",,"872,908","3,650","167,587","3,123","37,524,385","993,973","37,751,933",Europe,63201,,,"23,122",,
22,Colombia,"6,308,558",,"141,820",,"6,136,591",,"30,147",342,"121,033","2,721","36,654,229","703,232","52,122,496",South America,83681,,,578,,
23,Portugal,"5,509,424",,"25,125",,"5,434,604","1,797","49,695",61,"543,936","2,481","45,059,939","4,448,690","10,128,810",Europe,24030,,,"4,906",,
24,Austria,"5,340,548",,"20,926",,"5,188,819",,"130,803",47,"585,341","2,294","198,972,158","21,807,971","9,123,827",Europe,24360,,,"14,336",,
25,Ukraine,"5,177,217",,"109,206",,"5,061,704","6,305","6,307",177,"120,027","2,532","19,521,252","452,574","43,133,868",Europe,83952,,,146,,
26,Greece,"5,026,494",,"33,313",,"4,956,446","7,346","36,735",115,"487,687","3,232","95,536,498","9,269,268","10,306,801",Europe,23090,,,"3,564",,
27,Malaysia,"4,867,192",,"36,417",,"4,806,883",,"23,892",36,"146,101","1,093","64,999,917","1,951,135","33,313,897",Asia,79151,,,717,,
28,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,309",3,,,"26,036,957",Asia,"5,351,851",,,,,
29,Thailand,"4,685,047",,"32,829",,"4,647,275",,"4,943","1,496","66,738",468,"17,270,775","246,022","70,200,133",Asia,"1,521,384",,,70,,
30,Chile,"4,678,644",,"61,433",,"4,595,160",,"22,051",85,"240,038","3,152","45,649,778","2,342,068","19,491,226",South America,43170,,,"1,131",,
31,Israel,"4,672,731",,"11,712",,"4,655,156",,"5,863",90,"501,043","1,256","41,373,364","4,436,346","9,326,000",Asia,27960,,,629,,
32,Belgium,"4,586,564",,"32,776",,"4,480,219","1,405","73,569",68,"391,851","2,800","35,787,160","3,057,458","11,704,873",Europe,33570,,,"6,285",,
33,Canada,"4,293,273",,"45,689",,"4,175,402","2,475","72,182",99,"111,518","1,187","65,412,557","1,699,096","38,498,455",North America,98431,,,"1,875",,
34,Peru,"4,150,544",,"216,860",,"3,928,589",,"5,095",118,"121,997","6,374","35,462,029","1,042,333","34,021,774",South America,81571,,,150,,
35,Switzerland,"4,144,447",,"14,203",,"4,047,805","2,144","82,439",54,"470,999","1,614","22,476,990","2,554,417","8,799,264",Europe,26200,,,"9,369",,
36,Czechia,"4,140,848",,"41,380",,"4,081,720",,"17,748",60,"385,039","3,848","56,378,816","5,242,410","10,754,369",Europe,32600,,,"1,650",,
37,South Africa,"4,023,358",,"102,246",,"3,912,506",,"8,606",192,"65,937","1,676","26,174,429","428,963","61,017,944",Africa,155972,,,141,,
38,Philippines,"3,982,965",,"63,510",,"3,893,452",,"26,003",608,"35,274",562,"33,080,534","292,968","112,915,001",Asia,"2,817,783",,,230,,
39,Romania,"3,279,860",,"67,120",,"3,202,377",,"10,363",108,"173,128","3,543","25,299,718","1,335,451","18,944,700",Europe,62821,,,547,,
40,Denmark,"3,125,106",,"7,173",,"3,104,569",,"13,364",1,"535,230","1,229","128,522,038","22,011,699","5,838,806",Europe,28140,,,"2,289",,
41,Sweden,"2,604,866",,"20,407",,"2,559,774",810,"24,685",17,"254,303","1,992","19,010,468","1,855,916","10,243,171",Europe,45021,,,"2,410",,
42,Iraq,"2,460,868",,"25,356",,"2,435,048",,464,21,"58,196",600,"19,350,944","457,619","42,286,149",Asia,"1,716,682",,,11,,
43,Serbia,"2,388,554",,"17,134",,"2,339,848",,"31,572",19,"275,910","1,979","11,218,732","1,295,914","8,657,003",Europe,45051,,,"3,647",,
44,Hungary,"2,120,543",,"47,680",,"2,036,700",,"36,163",32,"220,790","4,964","11,394,556","1,186,398","9,604,329",Europe,52011,,,"3,765",,
45,Bangladesh,"2,032,443",,"29,401",,"1,974,208",,"28,834","1,331","12,066",175,"14,944,280","88,722","168,439,485",Asia,"83,572,911",,,171,,
46,Singapore,"2,012,065",,"1,644",,"1,914,596",,"95,825",13,"337,850",276,"24,548,641","4,122,016","5,955,494",Asia,"336,230",,,"16,090",,
47,Slovakia,"1,849,527",,"20,511",,"1,823,889",,"5,127",42,"338,389","3,753","7,318,390","1,338,971","5,465,683",Europe,32661,,,938,,
48,Hong Kong,"1,837,848",,"10,273",,"1,632,668",,"194,907",8,"240,682","1,345","66,284,763","8,680,577","7,635,986",Asia,47430,,,"25,525",,
49,New Zealand,"1,800,602",,"3,013",,"1,787,362",,"10,227",,"359,969",602,"7,544,063","1,508,179","5,002,100",Australia/Oceania,"316,601",,,"2,045",,
50,Georgia,"1,780,691",,"16,900",,"1,637,293",,"126,498",,"448,347","4,255","16,920,079","4,260,184","3,971,678",Asia,22350,,,"31,850",,
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"167,423","1,353","17,201,885","1,648,536","10,434,643",Asia,67391,,,179,,
52,Ireland,"1,668,301",,"7,952",,"1,653,429",313,"6,920",11,"329,453","1,570","12,744,275","2,516,713","5,063,857",Europe,36370,,,"1,367",,
53,Pakistan,"1,573,365",,"30,620",,"1,538,689",,"4,056",24,"6,820",133,"30,570,862","132,515","230,698,226",Asia,"14,775,348",,,18,,
