,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,,,North America,,"117,255,163",,"1,547,054",,"112,560,982","+2,475","3,147,127","7,706",,,,,,North America,,,,,,,,
,,,Asia,,"191,939,116","+33,440","1,484,215",+5,"185,959,514","+31,999","4,495,387","9,528",,,,,,Asia,,,,,,,,
,,,Europe,,"231,671,114",,"1,930,872",,"224,036,828","+28,289","5,703,414","10,056",,,,,,Europe,,,,,,,,
,,,South America,,"64,268,411",,"1,331,534",,"62,578,553","+1,544","358,324","10,165",,,,,,South America,,,,,,,,
,,,Oceania,,"12,514,512","+1,087","21,352",+12,"12,313,681",,"179,479",91,,,,,,Australia/Oceania,,,,,,,,
,,,Africa,,"12,659,954",,"257,742",,"11,998,118",,"404,094","1,000",,,,,,Africa,,,,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,,,,
,,World,"630,308,991","+34,527","6,572,784",+17,"609,448,382","+64,306","14,287,825","38,546","80,863",843.2,,,,All,,,,,,,,
,1,USA,"98,877,887",,"1,090,802 ",,"96,231,184",,"1,555,901","2,522","295,330","3,258","1,124,124,211","3,357,546","334,805,269 ",North America,33070,,,"4,647",
,2,India,"44,632,004",,"528,905 ",,"44,075,149",,"27,950",698,"31,730",376,"897,877,536","638,317","1,406,631,776 ",Asia,"322,6602",,,20,
,3,France,"36,268,028",,"155,980 ",,"35,082,194",,"1,029,854",869,"552,997","2,378","271,490,188","4,139,547","65,584,518 ",Europe,24200,,,"15,703",
,4,Brazil,"34,796,212",,"687,293 ",,"33,953,433",,"155,486","8,318","161,577","3,191","63,776,166","296,146","215,353,593 ",South America,63133,,,722,
,5,Germany,"34,758,889",,"151,629 ",,"32,936,700",,"1,670,560","1,406","414,371","1,808","122,332,384","1,458,359","83,883,596 ",Europe,25531,,,"19,915",
,6,S. Korea,"25,164,695","+33,190","28,856 ",+5,"24,740,250","+28,455","395,589",247,"490,254",562,"15,804,065","307,892","51,329,899 ",Asia,"21,7793",647,0.10,"7,707",
,7,UK,"23,798,793",,"191,681 ",,"23,428,718","+7,770","178,394",146,"347,438","2,798","522,526,476","7,628,357","68,497,907 ",Europe,33570,,,"2,604",
,8,Italy,"23,114,013",,"178,081 ",,"22,391,844",,"544,088",254,"383,554","2,955","250,156,683","4,151,098","60,262,770 ",Europe,33380,,,"9,029",
,9,Japan,"21,772,967",,"45,890 ",,"20,453,316",,"1,273,761",118,"173,373",365,"76,201,407","606,772","125,584,838 ",Asia,"62,7372",,,"10,143",
,10,Russia,"21,314,957",,"388,993 ",,"20,618,358",,"307,606","2,300","146,187","2,668","273,400,000","1,875,095","145,805,947 ",Europe,73751,,,"2,110",
,11,Turkey,"16,919,638",,"101,203 ",,"16,811,829","+3,302","6,606",,"197,747","1,183","162,743,369","1,902,052","85,561,976 ",Asia,58451,,,77,
,12,Spain,"13,462,593",,"114,641 ",,"13,257,857",,"90,095",339,"288,160","2,454","471,036,328","10,082,298","46,719,142 ",Europe,34080,,,"1,928",
,13,Vietnam,"11,493,271",,"43,157 ",,"10,599,201",,"850,913",92,"116,148",436,"85,826,548","867,342","98,953,541 ",Asia,"92,2931",,,"8,599",
,14,Australia,"10,311,612","+1,087","15,487 ",+12,"10,216,900",,"79,225",36,"395,554",594,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,"31,6830",42,0.5,"3,039",
,15,Argentina,"9,715,464",,"129,970 ",,"9,578,450",+630,"7,044",259,"211,159","2,825","35,716,069","776,264","46,010,234 ",South America,53541,,,153,
,16,Netherlands,"8,476,062",,"22,721 ",,"8,384,006","+1,147","69,335",39,"492,467","1,320","21,107,399","1,226,358","17,211,447 ",Europe,27581,,,"4,028",
,17,Iran,"7,554,703",,"144,523 ",,"7,329,344",,"80,836",124,"87,822","1,680","54,095,556","628,851","86,022,837 ",Asia,115952,,,940,
,18,Taiwan,"7,212,738",,"11,961 ",,"6,312,547",,"888,230",,"301,932",501,"27,073,308","1,133,315","23,888,595 ",Asia,"31,9971",,,"37,182",
